Hmong,English
Ib qho kev txhawj xeeb rau tus neeg mob kev nyab xeeb lub cev; thiab,a concern for the physical safety of the resident; and
Ib qho kev txiav txim hloov chaw rau los sis tso tus neeg mob tawm ntawm lub tsev tu,A decision to transfer or discharge the resident from the facility
"Ib qho lus qhia tias tus neeg mob muaj cai ua ib daim ntawv tsis txaus siab mus rau Minnesota Chaw Hauj Lwm Kev Tsis Txaus Siab rau Chaw Tu Mob (Minnesota Office of Health Facility Complaints) hais txog ib qho kev yuam cai twg los xij rau xeev los sis tsoom fwv cov cai tswj tsev tu, uas muaj nrog tiam sis tsis tas rau kev tsimtxom neeg mob, tsis saib xyuas, siv, lub tsev tu kev nyiag neeg mob khoom ntiag tug, kev tsis ua raws cov ntawv xub teev kev tu kho kom ua thiab cov kev thov xav tau lus qhia txog kev rov mus nyob rau lub zej zos","A statement that the resident may file a complaint with the Minnesota Office of Health Facility Complaints concerning any suspected violation of state or federal nursing facility regulations, including but not limited to resident abuse, neglect, exploitation, misappropriation of resident property in the facility, non- compliance with the advance
directives requirements and requests for information regarding returning to the community"
"Ib qho lus qhia tias tus neeg mob muaj cai ua ib daim tawv tsis txaus siab mus rau lub State Survey agency txog ib qho kev yuam cai twg los xij uas xav tias tau muaj rau xeev los sis tsoom fwv cov cai tswj cov tsev tu neeg laus, muaj nrog tiam sis tsis tas rau kev tsim txom neeg mob, tsis saib xyuas, siv, nyiag neeg mob khoom nyob rau lub tsev tu, tsis ua raws ntawv xub teev kev tu kho cov kom ua thiab kev thov xav paub txog kev rov mus nyob rau hauv zej zos","A statement that the resident may file a complaint with the State Survey Agency concerning any suspected violation of state or federal nursing facility regulations, including but not limited to resident abuse, neglect, exploitation, misappropriation of resident property in the facility, non- compliance with the advance directives requirements and requests for information regarding returning to the community"
Ib qho lus sau qhia seb kom ceev tus kheej nyiaj txiag li cas,A description of the manner of protecting personal funds
"Ib qho lus sau qhia txog tej uas kom muaj kom ua thiab cov txheej txheem kom ua los thov kom tau Medicaid, nrog rau txoj cai los kom ntsuam xyuas txog cov kev pab","A description of the requirements and procedures for establishing eligibility for Medicaid, including the right to request an assessment of resources"
ib qho quav coj mus ntsuam xyuas,stool specimen
ib qho xwm txheej ceev rau tus neeg tu xyuas los sis ib qho kev hloov loj hauv tus neeg tau txais cov kev pab tus mob uas yuav tau muab kev pab ntau tshaj qhov uas nyob hauv tus neeg muab kev pab daim ntawv cog lus muab kev pab tam sim no thiab tus neeg muab kev pab thaum yuav tag sim neej yuav muab tsis tau cov kev pab kom nyab xeeb; los sis,an emergency for the informal caregiver or a significant change in the recipient's condition has resulted in service needs that exceed the current service provider agreement and that cannot be safely met by the hospice provider
"Ib qho yuav ua rau paub tias muaj ntshauv saum taubhau yog hnov khaus rau saum taubhau, qee zaus pom muaj tawv nqaij taubhau hlaws lossis pom muaj pob xoo liab","One telltale sign of head lice is a persistent itching of the scalp, which is sometimes accompanied by infected scratch marks or what appears to be a rash"
"Ib qhov chaw nyob uas nyab xeeb, huv, xix nyob, thiab xws li vaj tse, cia tus neeg mob siv nws khoom ntiag tug raws li cia tau","A safe, clean, comfortable, and homelike environment, allowing the resident to use his or her personal belongings to the extent possible"
ib sab,side
"Ib tug kab virus yog qhov uas ua rau yus muaj yam mob no, thaum i yog tias peb leeg tau raug yam kab mob no ib tug ntawm pebleeg ntawd tau tuag","Caused by a virus, smallpox used to kill up to a third of the people who developed the illness"
Ib tug kab zuam yuav tsum tom dhos nkaus ntawm ib tug neeg ntev li 24-48 xaub moos ua ntej nws yuav kis tau tus kab mob npes taws lias Lyme,The tick must be attached to a person for at least 24-48 hours before it can spread Lyme disease bacteria
Ib tug kws kho mob thaum yuav tau hloov chaw los sis rho tawm raws li nqe 3 A a. teev dub thib peb thiab thib plaub,A physician when transfer or discharge is necessary under paragraph 3 A a. third and fourth bullets
"ib tug mob (xeeb ceem, kev xav, cwj pwm, thiab yam txwv) thaum nco txog yav tas los uas tau ceeb ntshai",post-traumatic stress disorder (PTSD)
ib tug mob thaum tswj tsis tau tus kheej pheej xav ntsoov txog tib qho qub thiab/los yog xav ua ntxiv tas li,obsessive compulsive disorder (OCD)
"ib tug mob ua rau tsis mloog hais, cav ncauj",oppositional defiant disorder
"ib tug mob ua rau yus nyob tsis tswm thiab siab khiav yees rau lwm yam, tsis nco xav ua ntej mam li ua (feem ntau yog menyuam yaus)",attention-deficit hyperactivity disorder (ADHD)
"ib tug mob xeeb ceem (kev xav, cwj pwm, thiab yam txwv) hloov",personality disorder
"ib tug mob xeeb ceem ua rau kev raug zoo nrog lwm tus tsis ruaj khov, muaj tus yam txwv zoo siab heev hloov mus rau chim siab heev ob peb teev lossis ob peb hnub",borderline personality disorder (BPD)
Ib tug neeg haujlwm yuav tau los ua tus los lis dej num rau qhov kev pab no thiab los teb lus rau cov lus sau nug uas muaj los ntawm pawg neeg kev sib ntsib,A staff person shall be designated the responsibility of providing this assistance and responding to written requests which result from council meetings
Ib tug neeg kis kab mob vaislav Ebola tsis tuaj yeem kis rau lwm tus tau thaum tsis tau muaj tus yam ntxwv tshwm sim,A person infected with the Ebola virus cannot pass it to others before any symptoms appear.
ib tug neeg koom caj ces los yog koom roj ntsha,blood relative
Ib tug neeg los sis tsev neeg muaj keeb kwm muaj mob puas siab ntsws los sis tsis meej pem,A personal or family history of psychosis or bipolar disorder
Ib tug neeg mob kev nshai tsam poob ntog tsoo kuj ua tau ib qho hauv paus qhia ntawm ib qho tsos mob,A resident's fear of falling may be the basis of a medical symptom
Ib tug neeg mob kev siv nws txoj cai tsis kam hloov chaw yuav tsis cuam tshuam dab tsi rau nws kev muaj cai tau kev pab thiab cov kev pab los ntawm Medicare los sis Medicaid,A resident�s exercise of the right to refuse transfer does not affect the resident�s eligibility or entitlement to Medicare or Medicaid benefits
Ib tug neeg mob tsis tau nyob rau lub tsev tu los 30 hnub lawm,A resident has not resided in the facility for 30 days
"Ib tug neeg mob, uas kev mus pw tsev kho mob los sis tawm musk ho ho ntev dhau lub sij hawm tuav lub txaj cia nyob rau lub Xeev kev npaj kho, rov qab los rau lub tsev tu rau nws chav nyob qub yog ho tseem nyob los sis rov los kiag thaum xub muaj ib lub txaj nyob rau ib chav nyob uas muaj lwm tus nyob ib nrab yog tus neeg mob","A resident, whose hospitalization or therapeutic leave exceeds the bed- hold period under the State plan, returns to the facility to their previous room if available or immediately upon the first availability of a bed in a semi- private room if the resident"
Ib tug neeg muaj TB yeej kis tau rau lwm tus yam nws tsis paub li,A person with TB can spread the infection without even knowing it
"Ib tug neeg saib xyuas los sis neeg tswj tuav ntawm ib tug neeg mob los sis, yog ho tsis muaj ib tug neeg saib xyuas los sis neeg tswj tuav, Ib tug neeg uas muaj feem cuam tshuam los kuj muaj cai taug xyuas kom ua tau raws cov cai no rau tus neeg mob","Any guardian or conservator of a resident or, in the absence of a guardian or conservator, an interested person, may seek enforcement of these rights on behalf of a resident"
"Ib tug neeg sawv cev twg ntawm Xeev lub Chaw Hauj Lwm Neeg Lis Pa Kev Tu � Mus Ntev (Office of the State Long-Term Care Ombudsman),","Any representative of the Office of the State Long-Term Care Ombudsman,"
Ib tug neeg sawv cev yuav muaj tus neeg pab thaum yug me nyuam uas tus neeg mob xaiv tuaj los tau thiab,A chosen representative may include a doula of the patient�s choice
Ib tug neeg tau kev pab tu xyuas thaum yuav tag sim neej muaj cai:,An individual who receives hospice care has the right to:
Ib tug neeg tuaj yeem kis tus kab mob qhua maj qhua pias mus rau lwm tus tau nyob rau 1 txog 2 hnub ua ntej cov pob khaus yuav tshwm tawm los mus txog rau thaum cov hlwv tag nrho qhuav thiab ua kaub puab,A person can spread chickenpox to others 1 to 2 days before the rash appears until all blisters are dry and have a scab
Ib tug neeg uas nqus tau cov ricin no yuav pib hnoos tsis lig dua peb xuab moos tom qab,A person who inhales ricin will develop a cough within three hours
Ib tug ntshauv los nyob saum taubhau tau li cas?,How does a head lice infestation occur?
Ib tus neeg uas kis tau thaum lub hlwv yuav nyob mus txog thaum tag nrho cov hlwv tau ua khaub puab,A person is infectious while blisters are present until all blisters have scabbed over
Ib tus neeg uas muaj tus kab mob pob hlwv dej yuav tsis tuaj yeem kis tus kab mob rau lwm tus neeg,A person with shingles cannot spread shingles to another person
"Ib txhia neeg kuj muaj teeb meem, xws li:","Some people do have problems, such as:"
"Ib txhia yuav ua xua, qhov muag liab, ua ntsos, hnoos, mob qa, mob hauv siab, ua pa nyuab lossis kev nqos qaub ncaug nyuab, lossis ua pa sab hauv thiab sab nraum lub cev","Some patients have a rash, red eyes, hiccups, cough, sore throat, chest pain, difficulty breathing or swallowing, or bleeding inside and outside the body."
ib txoj kev kho mob (ib qho chaw kho mob) rau cov neeg mob uas kho tsis tau lawm,hospice
"Ib txwm pom muaj tus kab mob hlwb o ntawm nees sab hnub tuaj rau hauv Tebchaws Asmeslikas (sab hnub poob ntawm Wisconsin), thiab sab qab teb raws tus ntug hiav txwv (Gulf Coast)","Eastern equine encephalitis is typically found in the eastern United States (as far west as Wisconsin), and in the south along the Gulf Coast"
ib yam khoom nyob hauv pob txha thiab los ntawm dej/zaub mov (pab tswj kom pob txha ruaj khov),calcium
Ib yam mob uas tsis tshua pom muaj tiamsis kuj tshwm sim tau yog kab mob voos rau lub hlwb uas los ntawm Naegleria fowleri,A very rare but often fatal brain infection can be caused by Naegleria fowleri
ib yam uas yuav coj mus ntsuam xyuas,sample
ib yim neeg,family
Inorganic arsenic yog hom khes mis arsenic es nrhiav pom tsuas rau cov dej haus thiab yog hom khes mis arsenic es phom sij heev dua,Inorganic arsenic is the type found in contaminated drinking water and is the more harmful type of arsenic
Inorganic arsenic yog hom tshuaj khes mis es tshwm siv thaum khes mis arsenic sib tov nrog cov hmoob hlau thiab lwm yam khoom es tsis yog hom carbon,Inorganic arsenic is formed when arsenic combines with metals and elements other than carbon
Isoniazid (INH) yog ib hom tshuaj uas feem ntau siv los tua kab mob LTBI,Isoniazid (INH) is a common medicine used to treat LTBI
Isoniazid thiab Rifapentine (INHRPT) yog cov tshuaj siv ua ke kho LTBI,Isoniazid and Rifapentine (INH-RPT) are medicines used together to treat LTBI
Kab mob,Bacteria
kab mob,disease
kab mob,germ
Kab mob,Virus
kab mob 19 txia ua mob tshiab,new COVID-19 variants
Kab Mob Anaplasmosis,Anaplasmosis
"Kab mob anaplasmosis yog ib hom ntawm ntau hom kab mob ncau los ntawm cov kab zuam nyob hauv xeev Minnesota thiab yog hom kab mob uas tshwm sim tshaj, thib ob rau kab mob Lyme nyob hauv xeev Minnesota",Anaplasmosis is one of many tickborne diseases in Minnesota and is the second most common tickborne disease in Minnesota after Lyme disease
"Kab mob Bacteria, Kab mob Viruses, thiab Kab Mob cab Parasites hauv cov dej Haus","Bacteria, Viruses, and Parasites in Drinking Water"
"Kab mob Bacteria, Kab mob Viruses, thiab Kab Mob cab Parasites hauv Minnesota cov dej","Bacteria, Viruses, and Parasites in Minnesota Water"
Kab Mob Borrelia mayonii,Borrelia mayonii Disease
Kab Mob Borrelia miyamotoi,Borrelia miyamotoi Disease
Kab mob Borrelia miyamotoi yog ib hom ntawm ntau hom kab mob uas ncau los ntawm cov kab zuam nyob hauv Minnesota,Borrelia miyamotoi disease is one of many tickborne diseases in Minnesota
kab mob COVID 19,COVID-19
Kab mob COVID-19 sib kis tau los ntawm 3 txoj kev,COVID-19 is spread in three main ways
Kab mob Ebola sib kis tau li cas?,How is Ebola disease spread?
Kab mob Ebola tau tshawb fawb pom thawj zaug nyob rau xyoo 1976 nyob rau teb chaw Vaj Huam Sib Luag Congo ze rau tus niam Dej Ebola,Ebola disease was first discovered in 1976 in what is now the Democratic Republic of Congo near the Ebola River
Kab mob Ebola xeeb ua rau muaj mob uas 50-90 feem pua ntawm cov neeg kis tus kab mob no tau tag lub neej txoj sia,Ebola disease causes severe illness in which 50-90 percent of those infected die
Kab mob Ebola yog dab tsi?,What is Ebola disease?
Kab mob Ebola yog xeeb txawm los ntawm cov vaislav Ebola thiab yog cov kab mob uas ua rau cov ntshav poob,Ebola disease is caused by the Ebola virus and is one of a number of hemorrhagic fever diseases
Kab Mob Ehrlichiosis,Ehrlichiosis
Kab mob ehrlichiosis yog ib hom ntawm ntau hom kab mob ncau los ntawm cov kab zuam nyob hauv Tebchaws Asmeslikas,Ehrlichiosis is one of many tickborne diseases in the United States
kab mob HIV,HIV (human immunodeficiency virus)
kab mob hlab ntsha plawv txhaws,coronary artery disease
Kab Mob Hlwb O La Crosse,La Crosse Encephalitis
Kab mob hlwb o La Crosse txaus ntshai npaum li cas?,How serious is La Crosse encephalitis?
Kab mob hlwb o La Crosse yog ib hom kab mob vais lav uas sib kis rau cov neeg los ntawm raug yoov qaib muaj kab mob tom,La Crosse encephalitis is a viral illness that is transmitted to people through the bite of an infected mosquito
Kab Mob Hlwb O Ntawm Nees Sab Hnub Poob,Western Equine Encephalitis
Kab Mob Hlwb O Ntawm Nees Sab Hnub Tuaj,Eastern Equine Encephalitis
Kab mob Hlwb O Ntawm Nees Sab Hnub Tuaj no txaus ntshai npaum li cas?,How serious is Eastern Equine Encephalitis?
Kab mob Hlwb O Ntawm Nees Sab Hnub Tuaj yog dabtsi?,What is Eastern Equine Encephalitis?
Kab mob hlwb o ntawm nees sab hnub tuaj yog ib hom kab mob vais lav uas kis mus rau tibneeg thiab tej nees los ntawm ib tus yoov qaib uas muaj kab mob tom,Eastern equine encephalitis is a viral illness that is transmitted to people and horses through the bite of an infected mosquito
Kab Mob Kev Ua Pa hauv Minnesota,Viral Respiratory Illness in Minnesota
kab mob khaub thuas sawv pob liab uas pib saum hauv pliaj tuaj mus thoob ib ce thiab hauv qhov ncauj ua rau tus neeg khaus ib ce,measles
"kab mob kis lis vas, thaum cov roj ntsha tiv thaiv kom txhob muaj kab mob rov tua yus lub cev",HIV (human immunodeficiency virus)
"kab mob kis lis vas, thaum cov roj ntsha tiv thaiv kom txhob muaj kab mob rov tua yus lub cev",human immunodeficiency virus (HIV)
"Kab mob kis ntawm dej ua si (recreational water illnesses (RWIs)) yog kis ntawm tej kab mob thiab khes mis kauj nyob hauv cov dej peb da lossis ua kis las, xws li pas ua luam dej, tej chaw ua si da dej (water parks), dab dej rhaub dej kub da, tej chaw ua si kov dej (splash pads), pas dej teev, hav dej, lossis hiav txwv","Recreational water illnesses (RWIs) are caused by germs and chemicals found in the water we swim or play in, including swimming pools, water parks, hot tubs, splash pads, lakes, rivers, or oceans"
Kab Mob Kis Ntawm Dej Ua Si (RWIs),Recreational Water Illnesses (RWIs)
Kab mob kis ntawm dej ua si yog dabtsi?,What are recreational water illnesses?
Kab Mob Lyme,Lyme disease
"Kab mob Plague yog ib yam uas yuav siv los ua kev sib tua vim tias: Tso tau cov kab mob no rau saum cua, uas kis tau rau ntau tus neeg","Plague is considered to be a possible biological weapon because: The bacteria can be released into the air, potentially infecting large numbers of people"
Kab Mob Pob Hlwv Dej (Pob Hlwv Dej),Shingles (Herpes Zoster)
Kab mob pob hlwv dej yog dab tsi?,What is shingles?
kab mob qhe,yeast
Kab Mob Qhua Maj,Rubella
"Kab mob qhua maj tuaj yeem sib kis tau thaum ib tus neeg muaj mob qhua maj hnoos lossis txham ze koj, lossis yog tias koj kov tau cov kua ntawm lub qhov ncauj, qhov ntswg ntawm tus neeg muaj mob qhua maj thiab mus kov koj lub qhov muag, qhov ntswg, lossis qhov ncauj","Rubella can be spread when a person with rubella coughs or sneezes near you, or if you touch fluids from the mouth or nose of a person with rubella and then touch your eyes, nose, or mouth"
Kab mob qhua maj yog dab tsi?,What is rubella?
"Kab mob qhua maj, kuj tseem hu tias mob qhua pias Cerman, yog ib yam mob ua pob liab los ntawm cov vais lav","Rubella, also called German measles, is a rash illness caused by a virus"
kab mob qhua pias,German measles (rubella)
"Kab Mob Siab Hom B tuaj yeem ua rau muaj cov teeb meem kev noj qab haus huv hnyav ntev mus, suav nrog kev puas tsuaj rau daim siab, daim siab tsis ua hauj lwm, thiab muaj tus mob khees xaws rau daim siab","Hepatitis B can cause serious health problems over time, including liver damage, liver failure, and liver cancer"
Kab mob TB huam,Active TB disease
"Kab mob TB tsis tau huam, thiab","Latent TB infection, and"
Kab mob TB yeej kho tau,TB can be cured
Kab Mob Ua Qog,Mumps
Kab mob ua qog yog dab tsi?,What is mumps?
Kab mob ua qog yog ib yam vais lav sib kis uas feem ntau yog mob rau tom caj pas ntawm lub pob ntseg thiab lub pob tsaig,Mumps is a viral infection that primarily affects the saliva glands located between the ear and the jaw
kab mob ua rau daim siab huam thiab o tuaj,hepatitis
Kab mob uas tso saum cua yuav ua tau kom neeg mob ntsws uas phem heev,Bacteria released into the air will cause the dangerous pneumonic form of plague
Kab Mob Vais Lav Jamestown Canyon,Jamestown Canyon Virus Disease
Kab mob vais lav Jamestown Canyon txaus ntshai npaum li cas?,How serious is Jamestown Canyon virus disease?
Kab Mob Vais Lav Powassan,Powassan Virus Disease
Kab mob vais lav Powassan yog ib tug kab mob zuam tom (flavivirus) uas txheeb ze cov kab mob yoov qaib xws li kab mob vais lav West Nile,Powassan virus is a tickborne flavivirus that is related to some mosquitoborne viruses such as West Nile virus
Kab Mob Vais Lav West Nile,West Nile Virus Disease
kab mob voos thiab o rau ntawm cov pos hniav,periodontitis (pyorrhea)
kab mob voos thiab o rau ntawm cov pos hniav,pyorrhea (periodontitis)
kab plev,sting of an insect
kab tom,insect bite
Kab zuam ceg dub nyob tej ntoo thiab hav nroj tsuag fab fab,Blacklegged ticks live in wooded or brushy areas
Kas,Larvae
Kaub puab,Scabs
Kauj ruam tom ntej tom qab kev txheeb xyuas tag lawm...,The next steps after identification...
Kauj ruam tom ntej yog los lis hauj lwm nrog koj tus me nyuam Cov Kws Kho Mob,Next step is to coordinate with your child�s Doctors
Kauj ruam tom ntej...,The next step...
kauj tsaig,jaw
kaus hniav lwj,tooth decay
kaus menyuam,abortion
kaus tw,coccyx
kav hlaub,shin
Kaw lub hau ntawm lub khob kom ruaj kom nws tsis txhob txeej tawm,Screw the cap on the cup tightly so it doesn�t leak
"Kawm kom paub dua txog cov kev tua cov kab mob hauv cov dej, qhov zoo thiab tsis zoo, thiab seb kim npaum cas ntawm lub vas sab cov cuab yeej es lim thiab tua cov kab mob rau cov dej siv","Learn more about treatment options, pros and cons, and general costs at the Home Water Treatment webpage"
Kawm kom paub ntau dua ntawm Kuv Yuav Ua Li Cas kom Txwv Kom Txhob rau Khes Mis Arsenic,Learn more at What You Can Do to Limit Exposure to Arsenic
Kawm kom paub txog fai fab radiation ntawm qhov raug ntau npaum cas hauv peb lub neej hu ua Doses in Our Daily Lives,Learn more about radiation at Doses in Our Daily Lives
Kawm paub ntau ntxiv hais txog Cov Hwv Tsam Txog Kev Sib Txuas Lus,Learn more about Communication Opportunities
Kawm paub ntau ntxiv hais txog Cov Kev Pab Cuam Rau Tsev Neeg Ntawm Kev Pab Tswv Yim Rau Neeg Lag Ntseg thiab Lus Piav Tes Rau Neeg Meskas,Learn more about Deaf Mentor Family Services and American Sign Language
Kawm paub ntau ntxiv hais txog Minnesota Hands & Voices cov khoos kas Phau Ntawv Qhia Rau Niam thiab Txiv mus rau Niam thiab Txiv thiab Cov Neeg Lag Ntseg thiab Tsis Hnov Lus Zoo,Learn more about Minnesota Hands & Voices Parent to Parent and Deaf and Hard of Hearing Guide programs
Kawm paub txog tus kab mob CMV,Learn about CMV
Kawm paub txuas ntxiv mus hais txog thiab sib tham txog kev txiav txim siab txog kev sib txuas lus thiab cov kev xaiv hauv qhov thev naus laus zis pab rau kev hnov lus rau koj tus me nyuam,Continue to learn about and discuss communication considerations and choices in hearing technology for your child
"Kawm txog qhov es muaj cov pa nkev hauv cov dej hauv lub xeev Minnesota hu ua Distribution of Radium in Minnesota Drinking Water Aquifers Cov pa nkev Tshwm sim hauv cov dej hauv Minnesota hu ua Polonium-210 Occurrence in Minnesota�s Aquifers: Ib qho kev kawm (A Pilot Study) Tsab cai muaj dej haus kom puaj phais hu ua Environmental Protection Agency Safe Drinking Water Act Standards: Cov kab mob me me qhov muag saib tsis pom (Microbiological) Siv fai fab kho mob (Radiological), thiab tej yam khes mis es tsuas (Inorganic Contaminants)","Distribution of Radium in Minnesota Drinking Water Aquifers Polonium-210 Occurrence in Minnesota�s Aquifers: A Pilot Study Environmental Protection Agency Safe Drinking Water Act Standards: Microbiological Radiological, and Inorganic Contaminants"
keeb kwm kev mob nkeeg yav tas los,history (medical)
kem quav,constipation
Kev cais tsis raws cai,Discrimination
kev caiv kom txhob muaj menyuam,contraceptive
kev caiv txwv tsis pub kom kab mob kis tau rau lwm tus,quarantine
Kev ceev thiab ntaub ntawv.,Accounting and records
Kev ceev toom ua ntej lub tsev tu kaw,Notice in advance of facility closure
Kev chwv raug cov qaub ncaug los sis zis ntawm cov me nyuam yaus yog qhov ua rau muaj tus kab mob CMV hauv cov neeg cev xeeb tub,Contact with the saliva or urine of young children is a major cause of CMV infection in pregnant people
Kev cia siab,Assurance
kev cob qhia,Training
kev cog rau,implantation
Kev Cuag nrog cov Chaw Sab Nraud,Contact with External Entities
Kev Cuam Tshuam nrog Lwm Cov Chaw Kho Mob,Relationship with Other Health Services
Kev Cuam Tshuam nrog rau Lwm Qhov Chaw Kho Mob,Relationship with Other Health Services
Kev Cuam Tshuam Rau Thaum Tseem Yog Me Nyuam Yaus Thaum Ntxov,Early Childhood Intervention
kev hau kom kab mob tuag,sterilization of bacteria
Kev haus dej haus cawv thaum koj noj tshuaj INH yuav ua koj diam nplooj siab mob,Drinking alcohol while you take INH can hurt your liver
kev haus luam yeeb,smoke
kev hlais qhov mob ntawm lub ncauj tsev menyuam tawm,conization
Kev hloov chaw los sis rho tawm yeej haum xeeb vim tias tus neeg mob rov zoo los txaus lawm es tus neeg mob tsis tas yuav tau lub tsev tu cov kev pab ntxiv lawm;,The transfer or discharge is appropriate because the resident�s health has improved sufficiently so the resident no longer needs the services provided by the facility;
Kev Hloov Chaw thiab Rho Tawm---,Transfer and discharge�
Kev hloov cov chav nyob nyob rau ib lub tsev tu nkag rau lwm lub,Room changes in a composite distinct part
"Kev hloov cov chav nyob nyob rau ib lub tsev tu uas nkag rau lwm lub yuav raug ua raws cov kev kom ua thiab yuav raug txwv kom tsuas hloov mus los nyob rau tib lub tsev uas tus neeg mob nyob, tsuas ntshe tus neeg mob ho yeem hloov mus rau lub tsev tu uas nkag rau lwm lub ib qho chaw twg","Room changes in a facility that is a composite distinct part are subject to the requirements and must be limited to moves within the particular building in which the resident resides, unless the resident voluntarily agrees to move to another of the composite distinct part�s locations"
kev hloov txheej npluag dawb npog lub ntsiab muag,corneal transplant
Kev Hwm thiab Kev Meej Mom,Choice of Attending Physician
Kev Hwm thiab Kev Meej Mom,Respect and Dignity
Kev kawm,Training
Kev Kawm Ntawv Tshwj Xeeb Nyob Rau Lub Caij Thaum Tseem Yog Me Nyuam Yaus Thaum Ntxov,Early Childhood Special Education
Kev kawm qib siab,Higher Education
kev kawm txog cov neeg laus,geriatrics
kev kawm txog cov roj ntsha tiv thaiv kab mob,serology
kev kawm txog lub plawv,cardiology
kev kawm txog poj niam lub cev,gynecology
"kev kawm txog tib neeg txoj kev xav, xeeb ceem, cwj pwm, thiab yam txwv",psychology
kev kho,treatment
kev kho hniav thiab pob tsaig tsis ncaj,orthodontia
Kev kho kab mob ntsws (Latent TB),Treatment for Latent TB Infection
Kev Kho Mob,Treatment
kev kho mob los ntawm ua neeb ua yaig thiab khawv koob,folk (traditional) healer
Kev kho mob mas siv peb los sis plaub yam tshuaj mus ntev tsawg kawg rau lub hlis,Treated by taking three or four medicines for at least six months
"kev kho mob nyuaj siab (ntsuam xyuas tib neeg txoj kev xav,xeeb ceem, cwj pwm, thiab yam txwv)",psychiatry
"Kev kho mob: Tham nrog koj tus kws kho mob,�txais tshuaj siv thaum ntxov","Treatment: Talk to your doctor, get�medications�early"
kev kho pob txha,orthopedics
kev kho tes taw kom muaj zog,physical therapy
"Kev kho thaum mob hom anthrax xyoo 2001 no, cov neeg uas tuag vim kho tsis tau yog 40 feem pua","With treatment, during the anthrax attacks of 2001, the death rate was about 40 percent"
Kev kho tsim nyog rau cov neeg mob yog kev tu kho npaj los pab cov neeg mob kom lawv lub cev thiab lub hlwb siab ntsws mus tau zoo tshaj plaws,Appropriate care for residents means care designed to enable residents to achieve their highest level of physical and mental functioning
Kev kho tsis pub leej twg paub,Confidential Treatment
kev kho txoj hlab ntsha plawv uas txhaws lawm,coronary angioplasty
"Kev kho yuav yog seb raug cov tshuaj no tau los li cas, kev kho muaj xws li pab kom ua pa tau thiab muaj tshuaj txhaj rau txoj hlab ntsha pab","Treatment will depend on how the patient was exposed to the poison, but may include help in breathing, as well as fluids and medications given through a vein"
kev khwv,employment
Kev kis kab mob ntawm daim tawv nqaij thiab cov plhaub mag mos (xws li kev kis tus mob rau qhov ncauj voos los sis caj pas voos),Skin and soft tissue infections (like staph or strep infections)
Kev kis tus kab mob latent TB thiab active TB sib txawv li cas?,What is the difference between latent TB infection and active TB disease?
Kev koj kis tus kab mob TB ces yog kis li ntawd,This is how you get TB
Kev koom tes,Cooperation
Kev Koom Tes rau Kev Npaj kho; Lus Ceeb Toom Qhia Tsev Neeg,Participation in Planning Treatment; Notification of Family Members
Kev koom ua ke,Partnership
KEV KUAJ KOM POM TXOG KEV HNOV LUS THAUM TSEEM NTXOV THIAB KEV KHO MOB,EARLY HEARING DETECTION & INTERVENTION
Kev kuaj ntshav rau tus kab mob ntsws qhuav (TB) yog dab tsi?,What is a TB blood test?
"Kev kuaj ntshav rau tus kab mob ntsws qhuav (tuberculosis,TB), kuj tseem hu tias interferon Gamma Release Assay los sis IGRA, yog ib txoj hauv kev los xyuas seb koj puas muaj kab mob TB hauv koj lub cev","The tuberculosis (TB) blood test, also called an interferon Gamma Release Assay or IGRA, is one way to find out if you have TB germs in your body"
Kev kuaj tsis mob,This will not hurt you
"Kev kuaj tus kab mob anaplasmosis yog nyob ntawm keeb kwm mus raug kab zuam, kev kuaj ntsuas ib ce, thiab kuaj ntshav los mus nrhiav pom tus mob","The diagnosis of anaplasmosis is based on a history of exposure to tick habitat, a physical examination, and blood tests to confirm the diagnosis"
"Kev kuaj tus kab mob B. mayonii yog nyob ntawm keeb kwm mus raug kab zuam, kev kuaj ntsuas ib ce, thiab kuaj ntshav los mus nrhiav pom tus mob","The diagnosis of B. mayonii disease is based on a history of exposure to tick habitat, a physical examination, and laboratory tests to confirm the diagnosis"
"Kev kuaj tus kab mob ehrlichiosis yog nyob ntawm keeb kwm mus raugkab zuam, kev kuaj ntsuas ib ce, thiab kuaj ntshav los mus nrhiav pom tus mob.","The diagnosis of ehrlichiosis is based on a history of exposure to tick habitat, a physical examination, and laboratory tests to confirm the diagnosis."
"Kev kuaj tus kab mob Lyme yog nyob ntawm keeb kwm mus raugkab zuam, kev kuaj ntsuas ib ce, thiab kuaj ntshav los mus nrhiav pom tus mob",The diagnosis of Lyme disease is based on a history of exposure to tick habitat and a physical examination to assess for any rash or other symptoms
Kev kuaj tus kab mob pob hlwv dej nws zoo li cas?,How is shingles diagnosed?
"Kev kuaj tus kab mob vais lav Powassan yog nyob ntawm keeb kwm uas nyob ze tej kab zuam, kuaj ntsuas ib ce, thiab kuaj ntshav los mus nrhiav pom tus mob","The diagnosis of Powassan virus disease is based on a history of exposure to tick habitat, a physical examination, and laboratory tests to confirm the diagnosis"
"Kev kuaj tus kab mob zuam yog nyob ntawm keeb kwm mus raug kab zuam, kev kuaj ntsuas ib ce, thiab kuaj ntshav los mus nrhiav pom tus mob","The diagnosis is based on a history of exposure to tick habitat, a physical examination, and laboratory tests to confirm the diagnosis"
